City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
507,Caravelas,BR,75.43,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
508,Pitimbu,BR,77.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
509,Satara,IN,82.06,scattered clouds,17.6833,73.9833,SPOT ON 69370 Pratik Lodging
510,Santiago Del Estero,AR,70.29,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
512,Richards Bay,ZA,66.78,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
513,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
514,Dongsheng,CN,70.02,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
516,Neyyattinkara,IN,82.26,overcast clouds,8.4,77.0833,P.W.D. Rest House
518,Coari,BR,73.33,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
519,Pontal Do Parana,BR,69.51,scattered clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
520,Twentynine Palms,US,80.74,clear sky,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
521,Rawson,AR,61.11,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
526,Manakara,MG,74.05,overcast clouds,-22.1333,48.0167,La Residence Manakara
527,Antalaha,MG,73.02,broken clouds,-14.9003,50.2788,Hotel Vitasoa
528,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
532,Kudahuvadhoo,MV,84.22,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
534,Masumbwe,TZ,64.42,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
535,Phuket,TH,88.09,scattered clouds,8.0,98.25,The Surin
536,Entre Rios,BR,70.86,few clouds,-11.9419,-38.0844,Pousada Porteira
541,Porto Nacional,BR,77.0,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
542,Malabo,GQ,75.06,few clouds,3.75,8.7833,Magno Suites
544,Saint-Leu,RE,77.86,clear sky,-21.15,55.2833,La Caz Oceane
545,Kahului,US,77.02,broken clouds,20.8947,-156.47,Maui Seaside Hotel
546,Ravar,IR,73.65,overcast clouds,31.2656,56.8055,computertik
549,Ampanihy,MG,70.25,overcast clouds,-24.7,44.75,Angora Hotel
550,Xiamen,CN,80.65,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
551,Baghmara,IN,88.68,clear sky,23.795,86.2085,Shankar tea shop
